Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Local_Es_Favorito,Visitante_Es_Favorito,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,6,17,3.0,28,13.0,39,6.0,6.0,10,0,0.5,1.0,3,1,5,4,2,2,0.0,0.0,0.0,5,2,4,2,7,1.0,2.0,1.0,2.0,16,9,-3.0,3.0,1.0,2.1666666666666665,0,0,0.1,0.12745098039215685,0,0,0,1
2000,6,11,6.0,27,5.0,29,24.0,9.0,8,0,1.0,1.5,1,2,3,1,2,2,0.0,0.0,0.0,2,1,5,5,3,2.0,4.5,2.0,4.5,16,9,-3.0,3.0,4.0,0.8333333333333334,0,0,0.5,0.07575757575757576,0,0,0,1
2000,6,6,12.0,30,20.0,24,8.0,6.0,14,1,2.0,1.0,2,3,7,6,1,2,0.0,0.0,0.0,2,6,9,1,-8,3.0,2.0,4.0,2.0,16,10,6.0,-6.0,1.3333333333333333,3.3333333333333335,0,0,0.09523809523809523,0.5555555555555556,0,0,1,0
2000,6,9,6.0,23,19.0,26,5.0,3.0,18,0,1.0,0.5,1,4,5,4,2,2,0.0,0.0,0.0,4,3,3,2,-9,2.0,1.0,2.0,1.0,16,10,3.0,-3.0,0.8333333333333334,3.1666666666666665,0,0,0.0462962962962963,0.35185185185185186,0,0,0,1
2000,6,1,15.0,37,34.0,8,17.0,12.0,2,0,2.5,2.0,0,0,7,10,1,2,0.0,0.0,0.0,1,6,10,3,-1,3.75,3.0,5.0,4.0,17,10,3.0,-3.0,2.8333333333333335,5.666666666666667,0,0,1.4166666666666667,5.666666666666667,0,0,1,0
2000,6,4,12.0,0,8.0,32,10.0,3.0,19,1,2.0,0.5,0,4,11,12,0,2,0.0,0.0,0.0,1,9,3,4,-15,3.0,0.75,3.0,1.0,17,11,9.0,-9.0,1.6666666666666667,1.3333333333333333,0,0,0.08771929824561404,0.3333333333333333,0,0,1,0
2000,6,12,6.0,3,17.0,41,2.0,0.0,20,1,1.0,0.0,1,4,8,6,0,2,0.0,0.0,0.0,5,3,5,1,-8,1.5,0.0,2.0,0.0,17,11,6.0,-6.0,0.3333333333333333,2.8333333333333335,0,0,0.016666666666666666,0.23611111111111113,0,0,0,1
2000,6,16,6.0,12,7.0,37,34.0,15.0,1,0,1.0,2.5,3,0,13,11,2,0,0.0,0.0,0.0,4,3,4,6,15,1.5,3.75,1.0,5.0,18,11,-9.0,9.0,5.666666666666667,1.1666666666666667,0,0,5.666666666666667,0.07291666666666667,0,0,0,1
2000,6,13,6.0,25,16.0,30,20.0,12.0,6,0,1.0,2.0,1,2,10,5,2,2,0.0,0.0,0.0,5,3,2,4,7,1.5,4.0,2.0,4.0,18,11,-6.0,6.0,3.3333333333333335,2.6666666666666665,0,0,0.5555555555555556,0.20512820512820512,0,0,0,1
2000,6,2,12.0,8,17.0,23,19.0,6.0,9,0,2.0,1.0,0,1,7,12,1,2,0.0,0.0,0.0,2,4,7,3,-7,3.0,1.5,3.0,2.0,19,11,6.0,-6.0,3.1666666666666665,2.8333333333333335,0,0,0.35185185185185186,1.4166666666666667,0,0,1,0
2000,7,13,9.0,20,21.0,5,31.0,12.0,5,1,1.2857142857142858,1.7142857142857142,1,2,11,12,0,2,0.0,0.0,0.0,5,7,4,7,8,2.25,2.4,3.0,2.0,19,12,-3.0,3.0,4.428571428571429,3.0,0,0,0.8857142857142858,0.23076923076923078,0,0,1,0
2000,7,8,6.0,39,7.0,19,36.0,15.0,1,0,0.8571428571428571,2.142857142857143,2,0,5,9,2,0,0.0,0.0,0.0,5,4,2,5,7,2.0,3.75,2.0,5.0,19,12,-9.0,9.0,5.142857142857143,1.0,0,0,5.142857142857143,0.125,0,0,0,1
2000,7,15,6.0,32,11.0,24,12.0,9.0,7,1,0.8571428571428571,1.2857142857142858,3,2,6,13,2,2,0.0,0.0,0.0,10,6,1,3,8,2.0,2.25,2.0,3.0,19,13,-3.0,3.0,1.7142857142857142,1.5714285714285714,0,0,0.24489795918367346,0.10476190476190476,0,0,0,1
2000,7,9,9.0,29,25.0,38,5.0,3.0,16,0,1.2857142857142858,0.42857142857142855,1,3,8,2,0,2,0.0,0.0,0.0,2,2,7,1,-7,2.25,1.5,2.0,1.5,19,13,6.0,-6.0,0.7142857142857143,3.5714285714285716,0,0,0.044642857142857144,0.39682539682539686,0,0,0,0
2000,7,2,12.0,0,8.0,27,9.0,9.0,10,0,1.7142857142857142,1.2857142857142858,0,1,8,14,0,3,0.0,0.0,0.0,2,4,3,0,-8,2.4,2.25,3.0,3.0,20,13,3.0,-3.0,1.2857142857142858,1.1428571428571428,0,0,0.1285714285714286,0.5714285714285714,0,0,1,0
2000,7,18,3.0,41,4.0,28,16.0,6.0,14,0,0.42857142857142855,0.8571428571428571,4,3,2,14,2,3,0.0,0.0,0.0,2,7,1,3,4,1.5,1.5,1.5,2.0,21,13,-3.0,3.0,2.2857142857142856,0.5714285714285714,0,0,0.16326530612244897,0.031746031746031744,0,0,1,0
2000,7,1,15.0,19,36.0,41,4.0,3.0,18,0,2.142857142857143,0.42857142857142855,0,4,7,13,1,2,0.0,0.0,0.0,0,4,8,3,-17,3.75,0.75,5.0,1.0,22,13,12.0,-12.0,0.5714285714285714,5.142857142857143,0,0,0.031746031746031744,5.142857142857143,0,0,1,0
2000,7,7,9.0,24,12.0,25,22.0,9.0,11,0,1.2857142857142858,1.2857142857142858,2,1,11,12,0,2,0.0,0.0,0.0,2,7,4,5,-4,2.25,2.25,3.0,2.0,22,13,0.0,0.0,3.142857142857143,1.7142857142857142,0,0,0.2857142857142857,0.24489795918367346,0,0,1,0
2000,7,16,3.0,38,5.0,0,8.0,12.0,2,0,0.42857142857142855,1.7142857142857142,3,0,1,3,2,2,0.0,0.0,0.0,0,0,2,4,14,1.5,4.0,1.5,4.0,22,13,-9.0,9.0,1.1428571428571428,0.7142857142857143,0,0,0.5714285714285714,0.044642857142857144,0,0,0,0
2000,7,5,12.0,5,31.0,39,7.0,6.0,8,1,1.7142857142857142,0.8571428571428571,2,2,7,10,1,2,0.0,0.0,0.0,2,5,7,3,-3,3.0,1.5,4.0,2.0,22,13,6.0,-6.0,1.0,4.428571428571429,0,0,0.125,0.8857142857142858,0,0,1,0
2000,8,9,9.0,27,9.0,32,11.0,6.0,16,0,1.125,0.75,1,3,7,9,1,0,0.0,0.0,0.0,3,9,9,5,-7,2.25,1.2,3.0,2.0,23,13,3.0,-3.0,1.375,1.125,0,0,0.0859375,0.125,0,0,1,0
2000,8,10,6.0,3,18.0,8,21.0,15.0,3,0,0.75,1.875,1,0,10,14,2,3,0.0,0.0,0.0,7,7,6,3,7,1.2,3.0,1.0,2.0,23,13,-9.0,9.0,2.625,2.25,0,0,0.875,0.225,0,0,0,0
2000,8,4,12.0,30,22.0,20,21.0,9.0,6,0,1.5,1.125,0,2,8,12,0,2,0.0,0.0,0.0,4,9,9,4,-2,2.4,2.25,3.0,3.0,23,13,3.0,-3.0,2.625,2.75,0,0,0.4375,0.6875,0,0,1,0
2000,8,5,12.0,39,27.0,30,22.0,12.0,4,1,1.5,1.5,2,0,11,12,0,2,0.0,0.0,0.0,7,6,5,5,1,3.0,3.0,4.0,2.0,23,14,0.0,0.0,2.75,3.375,0,0,0.6875,0.675,0,0,0,1
2000,8,6,9.0,20,21.0,24,18.0,15.0,1,0,1.125,1.875,2,0,8,11,0,0,0.0,0.0,0.0,6,6,4,4,5,1.8,3.0,3.0,5.0,24,14,-6.0,6.0,2.25,2.625,0,0,2.25,0.4375,0,0,0,0
2000,8,16,6.0,32,11.0,25,24.0,9.0,12,0,0.75,1.125,3,1,14,10,3,2,0.0,0.0,0.0,11,9,1,6,4,1.5,1.8,1.0,2.0,24,14,-3.0,3.0,3.0,1.375,0,0,0.25,0.0859375,0,0,0,1
2000,8,20,6.0,41,8.0,5,37.0,15.0,2,0,0.75,1.875,4,0,5,9,2,0,0.0,0.0,0.0,2,7,3,8,18,2.0,2.5,2.0,3.0,24,14,-9.0,9.0,4.625,1.0,0,0,2.3125,0.05,0,0,1,0
2000,8,15,9.0,12,9.0,3,18.0,6.0,10,0,1.125,0.75,3,1,11,6,0,2,0.0,0.0,0.0,4,6,5,1,5,1.8,2.0,2.0,2.0,24,14,3.0,-3.0,2.25,1.125,0,0,0.225,0.075,0,0,1,0
2000,8,9,9.0,27,9.0,38,15.0,6.0,17,0,1.125,0.75,1,3,7,6,1,2,0.0,0.0,0.0,3,4,10,2,-8,1.8,2.0,2.0,2.0,24,14,3.0,-3.0,1.875,1.125,0,0,0.11029411764705882,0.125,0,0,1,0
2000,8,8,12.0,29,29.0,23,25.0,9.0,13,0,1.5,1.125,2,1,9,10,0,2,0.0,0.0,0.0,3,5,9,3,-5,2.4,1.8,2.0,3.0,24,14,3.0,-3.0,3.125,3.625,0,0,0.2403846153846154,0.453125,0,0,1,0
